,64B,16B,% change (16B vs 64B),rel change (16B vs 64B)
evp_app_cleanup_int,186834,188082,0.667972638813064,1248
ossl_trace_cleanup,137293,138540,0.9082764598340775,1247
EVP_sha512,108250,109496,1.1510392609699769,1246
vm_deallocate,139628,140837,0.86587217463546,1209
EVP_aes_256_gcm,128042,129249,0.9426594398712922,1207
ossl_comp_brotli_cleanup,183372,184579,0.6582248107671836,1207
EVP_camellia_256_ctr,168000,169205,0.7172619047619048,1205
lsl::EphemeralAllocator::~EphemeralAllocator(),726581,727743,0.159927110673139,1162
EVP_cast5_cfb64,139998,141123,0.8035829083272618,1125
_cleanup,109963,111083,1.0185244127570183,1120
EVP_aes_192_cfb128,152752,153838,0.7109563213574945,1086
dyld4::JustInTimeLoader::hiddenFromFlat(bool) const,400001,401081,0.2699993250016875,1080
EVP_aes_192_cbc,128712,129792,0.8390826030206973,1080
ossl_sa_doall_arg,578674,579717,0.180239651340824,1043
COMP_zlib,178624,179664,0.582228591902544,1040
EVP_chacha20_poly1305,170959,171917,0.5603682754344609,958
EVP_shake256,121002,121958,0.7900695856266838,956
ossl_cipher_generic_einit,470088,471041,0.20272799986385528,953
EVP_CipherUpdate,185418,186332,0.49294027548565944,914
OSSL_ERR_STATE_new,217748,218587,0.3853077869831181,839
EVP_aes_128_cfb1,139499,140335,0.599287450089248,836
EVP_des_cfb1,127167,128001,0.6558305220694047,834
chacha20_poly1305_get_params,276084,276915,0.30099534924153515,831
aes_192_ofb_get_params,226837,227667,0.3659015063680088,830
EVP_camellia_128_cfb8,170791,171620,0.48538857433939725,829
engine_remove_dynamic_id,254833,255628,0.3119690150019817,795
EVP_aria_128_cfb128,159789,160580,0.49502781793490164,791
_NSGetEnviron,761125,761913,0.10353095746427984,788
init_thread_stop,177420,178206,0.4430165708488333,786
aes_256_cfb8_get_params,234124,234909,0.33529240915070646,785
dyld4::Loader::beginInitializers(dyld4::RuntimeState&),428953,429713,0.17717558800148267,760
aes_256_wrappad_get_params,254871,255623,0.2950512219907326,752
EVP_des_ede,110833,111585,0.6784982811978382,752
EVP_aes_192_ocb,133293,134043,0.5626702077378407,750
aes_128_cfb_get_params,228038,228788,0.32889255299555337,750
EVP_aes_128_ccm,135040,135753,0.5279917061611374,713
EVP_aes_192_cfb8,135667,136377,0.523340237493274,710
"lsl::AllocationMetadata::AllocationMetadata(lsl::Allocator*, unsigned long)",1697293,1697995,0.041359977328605024,702
dyld4::Loader::hiddenFromFlat(bool) const,342793,343457,0.19370290525185752,664
EVP_idea_ofb,109463,110123,0.602943460347332,660
EVP_aes_256_ofb,129124,129751,0.4855797527957622,627
aes_256_xts_get_params,243545,244125,0.23814900737030115,580
EVP_CIPHER_get_flags,164792,165372,0.35195883295305597,580
ossl_free_compression_methods_int,263919,264498,0.21938549327634613,579
engine_load_rdrand_int,182375,182920,0.2988348183687457,545
sa_doall,741166,741708,0.07312801720532243,542
ossl_prov_bio_from_dispatch,306627,307167,0.17610973593323484,540
UI_method_set_reader,170669,171207,0.31523006521395214,538
__sflags,448995,449498,0.11202797358545195,503
BIO_meth_set_create,199956,200456,0.2500550121026626,500
aria_256_ecb_get_params,249040,249539,0.20036941856729842,499
dyld4::DyldCacheDataConstLazyScopedWriter::DyldCacheDataConstLazyScopedWriter(dyld4::RuntimeState&),724126,724622,0.06849636665442202,496
aria_192_ccm_get_params,249747,250213,0.18658882789382855,466
ossl_bio_core_globals_new,225296,225749,0.20106881613521768,453
ossl_self_test_set_callback_new,268202,268626,0.15808979798808362,424
dyld4::RuntimeState::notifyObjCPatching(),341748,342169,0.12319018692135725,421
lh_FUNCTION_free,133499,133916,0.31236189035123857,417
EVP_des_ede3_cfb1,148166,148582,0.2807661676767949,416
pthread_mutex_init,1288223,1288638,0.032214919311330414,415
EVP_camellia_128_ofb,164002,164414,0.25121644857989534,412
EVP_rc2_40_cbc,135584,135962,0.27879395798914325,378
camellia_cts_128_cbc_get_params,293958,294335,0.12824961389041972,377
EVP_aes_256_ocb,135752,136127,0.2762390241027756,375
aes_v8_ctr32_encrypt_blocks,230208,230581,0.16202738393105368,373
ossl_prov_ctx_set0_libctx,201038,201374,0.16713258189993932,336
UI_OpenSSL,102294,102629,0.3274874381684165,335
EVP_aria_128_ctr,143376,143709,0.23225644459323735,333
aes_128_cfb8_get_params,237788,238089,0.1265833431459956,301
EVP_aes_256_ctr,129373,129667,0.22724988985336972,294
OSSL_STORE_register_loader,180668,180959,0.16106892200057565,291
tdes_ede2_ofb_get_params,242126,242415,0.11935934183028671,289
dyld4::JustInTimeLoader::path() const,917928,918207,0.030394540748293983,279
EVP_sm4_ecb,120625,120877,0.20891191709844562,252
EVP_aes_192_ctr,140037,140249,0.15138856159443576,212
EVP_aria_256_ofb,137831,138040,0.15163497326435998,209
EVP_aes_128_cfb128,156251,156419,0.107519311876404,168
ossl_aes_256_gcm_siv_get_params,282915,283080,0.05832140395525157,165
store_loader_cmp,179209,179372,0.09095525336339136,163
EVP_rc2_ecb,129080,129209,0.09993802293151535,129
EVP_aes_128_ofb,136207,136336,0.09470878882876797,129
aes_256_siv_get_params,230581,230708,0.055078258833121556,127
EVP_aes_128_wrap,146376,146499,0.08403016888014428,123
sm4_128_ofb128_get_params,239582,239703,0.05050462889532603,121
EVP_add_alg_module,174038,174126,0.050563670003102766,88
