version: 3.4.1
built on: Tue Feb 11 14:29:27 2025 UTC
options: bn(64,64)
compiler: clang -fPIC -arch arm64 -O3 -Wall -DL_ENDIAN -DOPENSSL_PIC -D_REENTRANT -DOPENSSL_BUILDING_OPENSSL -DNDEBUG
CPUINFO: OPENSSL_armcap=0x987d
The 'numbers' are in 1000s of bytes per second processed.
type             64 bytes
AES-128-CTR      37319.28k

  aes_128_wrappadinv_get_params                                  5334
  camellia_128_ctr_get_params                                    5334
  camellia_192_cbc_get_params                                    5334
  chacha20_poly1305_gettable_ctx_params                          5375
  ossl_init_thread_deregister                                    5375
  aes_192_wrappadinv_get_params                                  5417
  camellia_128_ofb_get_params                                    5417
  chacha20_poly1305_get_params                                   5417
  getegid                                                        5417
  camellia_192_cfb1_get_params                                   5500
  strtol_l                                                       5501
  engine_pkey_asn1_meths_free                                    5542
  EVP_SIGNATURE_do_all_provided                                  5583
  drbg_ctr_reseed                                                5583
  camellia_256_cfb1_get_params                                   5625
  ossl_aes_128_gcm_siv_get_params                                5625
  ossl_aes_192_gcm_siv_get_params                                5625
  ossl_aes_256_gcm_siv_get_params                                5625
  ossl_rand_pool_entropy_available                               5666
  OSSL_LIB_CTX_set_conf_diagnostics                              5667
  camellia_cts_128_cbc_get_params                                5750
  ccrng_schedule_atomic_flag_read                                5833
  medium_malloc_from_free_list                                   5834
  camellia_cts_256_cbc_get_params                                5875
  ccaes_arm_encrypt_ecb                                          5876
  sigaction                                                      5916
  property_cmp                                                   5917
  ossl_prov_bio_from_dispatch                                    6000
  ossl_prov_seeding_from_dispatch                                6125
  geteuid                                                        6250
  getuid                                                         6541
  __close_nocancel                                               6584
  EVP_CIPHER_CTX_get_block_size                                  6667
  dyld4::RuntimeState::notifyObjCPatching()                      6750
  dyld4::Loader::hiddenFromFlat(bool) const                      6792
  dyld3::kdebug_trace_dyld_enabled(unsigned int)                 6833
  rand_pool_grow                                                 6833
  getgid                                                         6834
  ENGINE_finish                                                  7083
  _kernelrpc_mach_port_deallocate_trap                           7083
  _platform_strnlen                                              7291
  dyld4::handleFromLoader(dyld4::Loader const*, bool)             7291
  ccaes_arm_encrypt_key_with_key_length_check                    7292
  cc_clear                                                       7334
  _kernelrpc_mach_port_construct_trap                            7375
  dyld4::BumpAllocator::~BumpAllocator()                         7375
  err_unshelve_state                                             7500
  ENGINE_register_DH                                             7668
  ENGINE_register_EC                                             7668
  dyld4::JustInTimeLoader::hiddenFromFlat(bool) const             7791
  ccaes_vng_ctr_crypt                                            7833
  drbg_ctr_generate_wrapper                                      7833
  ENGINE_register_RSA                                            7917
  OPENSSL_sk_pop                                                 7917
  store_loader_hash                                              7917
  ENGINE_register_DSA                                            8041
  ENGINE_register_RAND                                           8126
  dyld4::Loader::beginInitializers(dyld4::RuntimeState&)             8250
  mach_boottime_usec                                             8250
  CRYPTO_ctr128_encrypt_ctr32                                    8333
  EVP_RAND_free                                                  8333
  X509_get_default_cert_area                                     8417
  lsl::EphemeralAllocator::reset()                               8459
  dyld4::RuntimeState::incDlRefCount(dyld4::Loader const*)             8750
  ossl_sa_new                                                    8750
  EVP_CIPHER_get0_name                                           8792
  flsl                                                           8833
  strlen                                                         8917
  OSSL_PARAM_get_time_t                                          8998
  pthread_mutex_destroy                                          9000
  ENGINE_register_digests                                        9042
  lsl::Vector<dyld4::Loader const*>::reserveExact(unsigned long)             9167
  ENGINE_register_ciphers                                        9249
  get_evp_method_from_store                                      9292
  BIO_set_flags                                                  9416
  DSO_METHOD_openssl                                             9666
  Decrypt_Main_Loop_End                                          9667
  ENGINE_register_pkey_meths                                     9708
  dyld4::JustInTimeLoader::beginInitializers(dyld4::RuntimeState&)             9791
  lsl::Vector<lsl::MemoryManager::Buffer>::reserve(unsigned long)            10000
  tiny_malloc_from_free_list                                    10000
  OSSL_LIB_CTX_get_conf_diagnostics                             10083
  OSSL_PARAM_get_int64                                          10125
  ossl_lib_ctx_get_ex_data_global                               10125
  CRYPTO_atomic_or                                              10250
  file_new                                                      10375
  lsl::Lock::lock()                                             10375
  setitimer                                                     10459
  BIO_new                                                       10751
  __sflush                                                      10875
  ENGINE_register_pkey_asn1_meths                               11041
  OpenSSL_version                                               11084
  NCONF_get_section                                             11334
  ossl_lib_ctx_get_rcukey                                       11499
  AccelerateCrypto_ecb_AES_encrypt                              11500
  free_small                                                    11500
  signal                                                        11541
  dyld4::RuntimeState::doSingletonPatching(dyld4::DyldCacheDataConstLazyScopedWriter&)            12084
  fstat                                                         12166
  aes_siv_gettable_ctx_params                                   12167
  engine_free_util                                              12291
  _kernelrpc_mach_vm_deallocate_trap                            12333
  EVP_KEM_fetch                                                 12376
  ossl_cipher_capable_aes_cbc_hmac_sha256                       12499
  ossl_property_value                                           12540
  OSSL_PARAM_modified                                           12666
  drbg_ctr_settable_ctx_params                                  12667
  EVP_add_cipher                                                12668
  FMT_istext                                                    12750
  ossl_cipher_capable_aes_cbc_hmac_sha1                         12876
  cipher_ocb_gettable_ctx_params                                13251
  __bzero                                                       13417
  CRYPTO_secure_zalloc                                          13418
  aes_cbc_cts_gettable_ctx_params                               13666
  OSSL_PARAM_get_uint                                           13667
  dyld4::DyldCacheDataConstLazyScopedWriter::DyldCacheDataConstLazyScopedWriter(dyld4::RuntimeState&)            13834
  file_free                                                     13875
  dyld4::Loader::loadDependents(Diagnostics&, dyld4::RuntimeState&, dyld4::Loader::LoadOptions const&)            13917
  __v2printf                                                    14001
  lsl::EphemeralAllocator::~EphemeralAllocator()                14250
  DSO_free                                                      14582
  EVP_RAND_fetch                                                14625
  dyld4::Loader::path() const                                   14625
  small_try_realloc_in_place                                    14750
  __sigaction                                                   14876
  sa_doall                                                      15000
  dyld4::JustInTimeLoader::loadDependents(Diagnostics&, dyld4::RuntimeState&, dyld4::Loader::LoadOptions const&)            15208
  EVP_CIPHER_get_key_length                                     15291
  OSSL_PARAM_construct_time_t                                   15376
  ossl_aes_gcm_siv_gettable_ctx_params                          15459
  EVP_MD_CTX_free                                               15667
  camellia_cbc_cts_gettable_ctx_params                          15709
  EVP_CIPHER_CTX_get_iv_length                                  15791
  __getpid                                                      16002
  os_unfair_recursive_lock_unlock                               16209
  dyld3::MachOFile::is64() const                                16333
  check_random_device                                           16376
  ossl_lib_ctx_get_concrete                                     16750
  ossl_drbg_clear_seed                                          17043
  ossl_sa_doall_arg                                             17167
  CRYPTO_secure_malloc                                          17209
  __xvprintf                                                    17210
  __open_nocancel                                               17250
  _kernelrpc_mach_port_destruct_trap                            17291
  invocation function for block in dyld4::Loader::forEachPath(Diagnostics&, dyld4::RuntimeState&, char const*, dyld4::Loader::Loa            17417
  ossl_prov_cipher_hw_aes_ctr                                   17626
  dyld4::JustInTimeLoader::path() const                         17917
  OPENSSL_LH_get_down_load                                      17957
  _NSGetEnviron                                                 18084
  kdebug_is_enabled                                             18667
  getrusage                                                     18792
  rack_region_insert                                            19416
  pthread_cond_init                                             19916
  __chkstk_darwin_probe                                         20208
  property_free                                                 20208
  seed_src_unlock                                               20415
  os_unfair_recursive_lock_lock_with_options                    20625
  dyld4::LibSystemHelpers::pthread_getspecific(unsigned long) const            20750
  OSSL_PARAM_get_uint32                                         20833
  lsl::EphemeralAllocator::deallocate_buffer(lsl::MemoryManager::Buffer)            20833
  ctr_XOR                                                       20916
  dyld4::Loader::matchesPath(char const*) const                 21125
  small_size                                                    21624
  mach_msg2_trap                                                21708
  os_unfair_lock_assert_not_owner                               21834
  dyld4::ProcessConfig::DyldCache::indexOfPath(char const*, unsigned int&) const            22584
  CRYPTO_new_ex_data                                            22875
  CRYPTO_THREAD_lock_free                                       24874
  dyld4::Loader::loadAddress(dyld4::RuntimeState&) const            25042
  openssl_get_fork_id                                           25084
  ___chkstk_darwin                                              25123
  pthread_mutex_init                                            25334
  EVP_CIPHER_fetch                                              25667
  ossl_prov_cipher_hw_aes_ecb                                   25709
  __read_nocancel                                               25751
  __open                                                        26041
  lsl::MemoryManager::lockGuard()                               26750
  dyld3::ScopedTimer::endTimer()                                26957
  evp_rand_up_ref                                               27126
  drbg_ctr_init_lengths                                         27542
  fesetenv                                                      27917
  os_unfair_lock_lock                                           28083
  seed_src_lock                                                 28251
  dyld4::JustInTimeLoader::loadAddress(dyld4::RuntimeState&) const            28334
  cc_disable_dit                                                29374
  fegetenv                                                      29458
  __findenv_locked                                              29460
  OPENSSL_sk_delete                                             30543
  small_free_list_find_by_ptr                                   30584
  _pthread_mutex_check_init_slow                                32584
  lsl::AllocationMetadata::AllocationMetadata(lsl::Allocator*, unsigned long)            32791
  OPENSSL_sk_free                                               33457
  _kernelrpc_mach_vm_map_trap                                   33583
  OPENSSL_LH_set_down_load                                      34917
  OPENSSL_strnlen                                               35125
  ossl_property_name                                            36374
  dyld4::LibSystemHelpers::os_unfair_recursive_lock_unlock(os_unfair_recursive_lock_s*) const            38043
  small_malloc_from_free_list                                   39250
  dyld4::LibSystemHelpers::os_unfair_lock_unlock(os_unfair_lock_s*) const            40585
  Diagnostics::hasError() const                                 40666
  ossl_rcu_write_lock                                           42124
  EVP_PKEY_asn1_get0                                            42624
  small_free_list_remove_ptr                                    42998
  OSSL_PARAM_get_int                                            43875
  szone_good_size                                               44001
  ossl_cipher_generic_reset_ctx                                 44125
  ossl_rcu_write_unlock                                         45207
  EVP_KEM_get0_name                                             45792
  ENGINE_get_cipher_engine                                      46167
  ossl_tdes_gettable_ctx_params                                 46292
  evp_rand_free                                                 46915
  ctr_BCC_update                                                47874
  EVP_KEM_free                                                  48001
  Diagnostics::noError() const                                  48043
  dyld3::MachOFile::read_uleb128(Diagnostics&, unsigned char const*&, unsigned char const*)            49709
  dyld4::RuntimeState::PermanentRanges::contains(unsigned long, unsigned long, unsigned char*, dyld4::Loader const**) const            49915
  ossl_prov_ctx_get0_libctx                                     50165
  EVP_KEM_up_ref                                                51333
  dyld4::LibSystemHelpers::os_unfair_recursive_lock_lock_with_options(os_unfair_recursive_lock_s*, os_unfair_lock_options_t) cons            51625
  small_free_list_remove_ptr_no_clear                           52624
  small_free_list_add_ptr                                       52711
  OSSL_PARAM_get_int32                                          53208
  EVP_PKEY_asn1_get0_info                                       53291
  ossl_drbg_unlock                                              54875
  OPENSSL_cleanse                                               55084
  mach_absolute_time                                            55626
  pthread_cond_broadcast                                        56001
  dyld4::LibSystemHelpers::os_unfair_lock_lock_with_options(os_unfair_lock_s*, os_unfair_lock_options_t) const            58876
  lsl::EphemeralAllocator::allocate_buffer(unsigned long, unsigned long, unsigned long)            61543
  tiny_size                                                     63663
  __commpage_gettimeofday                                       64502
  _qsort                                                        64958
  pthread_setspecific                                           67166
  OPENSSL_sk_pop_free                                           70333
  ossl_cipher_aead_gettable_ctx_params                          70375
  madvise                                                       71335
  strcmp                                                        71706
  realloc                                                       72042
  _tiny_check_and_zero_inline_meta_from_freelist                74375
  ossl_drbg_lock                                                75082
  invocation function for block in dyld3::MachOFile::getDylibInstallName(char const**, unsigned int*, unsigned int*) const            80959
  dyld3::kdebug_trace_dyld_duration_end(unsigned long long, unsigned int, dyld3::kt_arg, dyld3::kt_arg, dyld3::kt_arg)            81834
